,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
165,-2272.3970793643784,-3241.5091587099378,-1672.2785251741125,-1356.4127188004761,-1448.348158755563,-1192.180344148412,-1773.4052374144271,-1219.5348856997316,-1315.4486591313578,-2322.690586815813,-2018.3189526370302,-1673.7451471567829,-1671.968690451191,-1263.9457566545022
166,-620.4357220563304,-17.13461590495239,17.06946731765582,38.91306742504175,39.26865750261379,-1040.6732558096494,-542.5240979894811,1250.4297654806305,1283.7018029847015,719.5567722120531,-1078.1234005528913,95.53961378586872,-258.2746327535176,1180.687383457408
167,-980.2373160000675,-980.2373434360086,140.2957971321528,-36.852937884000895,-36.761484049885205,140.62678358106658,1546.8292649764787,1532.7109138663943,140.70549846054487,1469.1956886281957,-630.2271439085416,-28970.215500838214,1538.3964678903164,1535.2844780107614
168,-1705.301057822348,-1474005.2016824444,-49.5049301380689,-270.1172229963239,-2212.276659781419,313.38543955852373,-1143.909095062454,331.99507082585586,-287.6792077675536,434.9665545652132,-1699.8823074727627,-128.85768766227596,324.1368121369225,181.95763303007314
169,-1065.569162694398,-1041.3377743881056,-1031.7016017307722,-118.21224446269756,238.3483029842254,358.55677655147844,-905.716754055612,337.6007640461221,-11.49651784965237,-487.6537677017826,-907.7744756969148,483.0967100357106,-558.9761907209246,307.7680759115947
17,-801.2137329366526,-798.7274222262605,-798.7266036737427,-14.291516365263085,-2034.0023122682042,-681.2191808523601,-190.86633402308863,103.3154909019601,103.95990242497142,377.08977426476974,-681.2460775827769,1272.716577586779,109.0920724201556,1200.11655185077
170,-1336.8109845033273,-1336.8119963239192,963.8184012471431,-128.73571754362706,-2043.426479911252,-511.3851744735481,-724.0105349565684,962.6572195081718,86.97973668645143,98.85158160815831,-756.0057546179484,1025.506863002462,1041.3698881960343,652.1888625114507
171,-2441.1384958755743,-2638.7328337957274,-1936.5182423395538,-776.1266491354261,-733.007103618774,-779.4775552567096,-1649.6881132308251,-644.3272695720443,-418.24289915514635,-411.53488183566486,-11708869.627402853,-1027.6149835778995,-429.83157155964295,-538.6601866492397
172,-1114.4301850181569,-1114.4301957634668,-11489.68890959299,-52.35166428091412,-2035.4693184576763,-2035.4605594152788,-639.2191775419525,72.37325435255731,1104.9127345607653,-588.714240430177,1077.6458516119583,85.35587055311859,1143.27942995491,1066.621510494525
173,-1053.4196224416594,-1053.4196551584419,-1050.7543666822933,-55.98563799642532,-2035.1289250519767,-235.116176606896,-336.5101062126774,77.49310339573799,1052.5500338283227,-231.4504376431775,-383.7250679268326,1034.4490988350994,-381.2237106353337,1104.959334262173
